"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BOP","TOT","PC_GDP","A","2011",-2.918653,
"USA","BOP","TOT","PC_GDP","A","2012",-2.572387,
"USA","BOP","TOT","PC_GDP","A","2013",-2.015395,
"USA","BOP","TOT","PC_GDP","A","2014",-2.108111,
"USA","BOP","TOT","PC_GDP","A","2015",-2.245894,
"USA","BOP","TOT","PC_GDP","A","2016",-2.126599,
"USA","BOP","TOT","PC_GDP","A","2017",-1.856838,
"USA","BOP","TOT","PC_GDP","A","2018",-2.134903,
"USA","BOP","TOT","PC_GDP","A","2019",-2.20912,
"USA","BOP","TOT","PC_GDP","A","2020",-2.948705,
"EU27_2020","BOP","TOT","PC_GDP","A","2011",0.6201835,
"EU27_2020","BOP","TOT","PC_GDP","A","2012",1.701177,
"EU27_2020","BOP","TOT","PC_GDP","A","2013",2.474839,
"EU27_2020","BOP","TOT","PC_GDP","A","2014",2.487171,
"EU27_2020","BOP","TOT","PC_GDP","A","2015",2.904892,
"EU27_2020","BOP","TOT","PC_GDP","A","2016",3.187935,
"EU27_2020","BOP","TOT","PC_GDP","A","2017",3.063864,
"EU27_2020","BOP","TOT","PC_GDP","A","2018",2.925545,
"EU27_2020","BOP","TOT","PC_GDP","A","2019",2.466891,
"EU27_2020","BOP","TOT","PC_GDP","A","2020",2.398893,
