"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-01",99.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-02",100.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-03",101,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-04",101.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-05",101.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-06",101.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-07",101.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-08",101.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-09",102,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-10",101.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-11",102.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2011-12",102,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-01",102.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-02",102.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-03",103.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-04",103.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-05",103.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-06",102.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-07",103,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-08",103.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-09",104.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-10",104.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-11",103.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2012-12",103.4,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-01",103.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-02",104.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-03",103.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-04",103.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-05",103.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-06",103.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-07",103.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-08",103.4,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-09",103.4,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-10",103,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-11",102.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2013-12",102.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-01",102.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-02",102.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-03",102.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-04",102.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-05",102.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-06",102.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-07",102.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-08",102.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-09",102.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-10",102.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-11",101.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2014-12",100.4,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-01",99.4,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-02",100.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-03",100.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-04",100.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-05",101.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-06",101.1,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-07",100.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-08",99.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-09",99.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-10",99.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-11",99,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2015-12",98.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-01",97.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-02",97.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-03",97.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-04",97.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-05",98.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-06",99,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-07",98.9,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-08",98.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-09",99,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-10",99.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-11",99.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2016-12",100.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-01",101.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-02",101.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-03",101.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-04",101.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-05",101.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-06",101.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-07",101.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-08",101.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-09",102,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-10",102.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-11",102.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2017-12",102.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-01",103.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-02",103,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-03",103.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-04",103.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-05",104.5,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-06",104.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-07",104.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-08",105,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-09",105.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-10",105.7,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-11",105.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2018-12",104.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-01",104.4,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-02",104.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-03",105,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-04",105.6,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-05",105.8,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-06",105.2,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-07",105.3,
"EU27_2020","PPI","DOMESTIC","IDX2015","M","2019-08",105,
