"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GDP","TOT","USD_CAP","A","2016",57846.274282,
"USA","GDP","TOT","USD_CAP","A","2017",59896.756042,
"USA","GDP","TOT","USD_CAP","A","2018",62783.978541,
"USA","GDP","TOT","USD_CAP","A","2019",65055.785369,
"USA","GDP","TOT","USD_CAP","A","2020",63285.232257,"E"
"EU27_2020","GDP","TOT","USD_CAP","A","2016",39214.98772,
"EU27_2020","GDP","TOT","USD_CAP","A","2017",40785.371946,
"EU27_2020","GDP","TOT","USD_CAP","A","2018",42138.494838,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",43530.096073,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",41539.843382,
