"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","GGDEBT","TOT","PC_GDP","A","2016",138.5002,
"USA","GGDEBT","TOT","PC_GDP","A","2017",135.1279,
"USA","GGDEBT","TOT","PC_GDP","A","2018",136.7602,
"USA","GGDEBT","TOT","PC_GDP","A","2019",135.3818,
"USA","GGDEBT","TOT","PC_GDP","A","2020",160.61,
"EU","GGDEBT","TOT","PC_GDP","A","2016",83.4584,
"EU","GGDEBT","TOT","PC_GDP","A","2017",81.893,
"EU","GGDEBT","TOT","PC_GDP","A","2018",79.6,
"EU","GGDEBT","TOT","PC_GDP","A","2019",77.8,
"EU","GGDEBT","TOT","PC_GDP","A","2020",90.5,
