"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","TERMTRADE","TOT","RT","A","2006",95.7712804155434,
"USA","TERMTRADE","TOT","RT","A","2007",96.0349434899927,
"USA","TERMTRADE","TOT","RT","A","2008",91.3580736053481,
"USA","TERMTRADE","TOT","RT","A","2009",96.6169674916291,
"USA","TERMTRADE","TOT","RT","A","2010",95.2252849347934,
"USA","TERMTRADE","TOT","RT","A","2011",94.063259084043,
"USA","TERMTRADE","TOT","RT","A","2012",94.5175105624339,
"USA","TERMTRADE","TOT","RT","A","2013",95.9076642255787,
"USA","TERMTRADE","TOT","RT","A","2014",96.6934530082502,
"USA","TERMTRADE","TOT","RT","A","2015",100,
"USA","TERMTRADE","TOT","RT","A","2016",101.465585727286,
"USA","TERMTRADE","TOT","RT","A","2017",101.846880142439,
"USA","TERMTRADE","TOT","RT","A","2018",102.387110272703,
"USA","TERMTRADE","TOT","RT","A","2019",103.52238257245,
"USA","TERMTRADE","TOT","RT","A","2020",103.223202442304,
"EU","TERMTRADE","TOT","RT","A","2006",98.4037604248544,
"EU","TERMTRADE","TOT","RT","A","2007",98.9794736659457,
"EU","TERMTRADE","TOT","RT","A","2008",97.7487452711577,
"EU","TERMTRADE","TOT","RT","A","2009",100.516290459659,
"EU","TERMTRADE","TOT","RT","A","2010",98.6699880293558,
"EU","TERMTRADE","TOT","RT","A","2011",96.781711706503,
"EU","TERMTRADE","TOT","RT","A","2012",96.2988583773959,
"EU","TERMTRADE","TOT","RT","A","2013",97.1473121200846,
"EU","TERMTRADE","TOT","RT","A","2014",98.0082171019932,
"EU","TERMTRADE","TOT","RT","A","2015",100,
"EU","TERMTRADE","TOT","RT","A","2016",101.113264440027,
"EU","TERMTRADE","TOT","RT","A","2017",100.308975172323,
"EU","TERMTRADE","TOT","RT","A","2018",99.5742698888896,
"EU","TERMTRADE","TOT","RT","A","2019",100.132952693477,
"EU","TERMTRADE","TOT","RT","A","2020",101.517394421179,
