Series Id,Year,Period,Value
WPUFD4,2011,M01,103.4
WPUFD4,2011,M02,104.2
WPUFD4,2011,M03,105.2
WPUFD4,2011,M04,105.9
WPUFD4,2011,M05,106.1
WPUFD4,2011,M06,106.0
WPUFD4,2011,M07,106.3
WPUFD4,2011,M08,106.4
WPUFD4,2011,M09,106.6
WPUFD4,2011,M10,106.3
WPUFD4,2011,M11,106.4
WPUFD4,2011,M12,106.0
WPUFD4,2012,M01,106.6
WPUFD4,2012,M02,107.1
WPUFD4,2012,M03,107.7
WPUFD4,2012,M04,108.0
WPUFD4,2012,M05,107.8
WPUFD4,2012,M06,107.4
WPUFD4,2012,M07,107.4
WPUFD4,2012,M08,107.7
WPUFD4,2012,M09,108.2
WPUFD4,2012,M10,108.3
WPUFD4,2012,M11,108.2
WPUFD4,2012,M12,108.0
WPUFD4,2013,M01,108.3
WPUFD4,2013,M02,108.8
WPUFD4,2013,M03,109.1
WPUFD4,2013,M04,109.0
WPUFD4,2013,M05,108.8
WPUFD4,2013,M06,109.2
WPUFD4,2013,M07,109.5
WPUFD4,2013,M08,109.5
WPUFD4,2013,M09,109.4
WPUFD4,2013,M10,109.7
WPUFD4,2013,M11,109.4
WPUFD4,2013,M12,109.3
WPUFD4,2014,M01,109.7
WPUFD4,2014,M02,110.1
WPUFD4,2014,M03,110.8
WPUFD4,2014,M04,111.0
WPUFD4,2014,M05,111.1
WPUFD4,2014,M06,111.2
WPUFD4,2014,M07,111.6
WPUFD4,2014,M08,111.6
WPUFD4,2014,M09,111.1
WPUFD4,2014,M10,111.4
WPUFD4,2014,M11,110.8
WPUFD4,2014,M12,110.3
WPUFD4,2015,M01,109.7
WPUFD4,2015,M02,109.5
WPUFD4,2015,M03,109.8
WPUFD4,2015,M04,109.8
WPUFD4,2015,M05,110.2
WPUFD4,2015,M06,110.6
WPUFD4,2015,M07,110.8
WPUFD4,2015,M08,110.5
WPUFD4,2015,M09,109.9
WPUFD4,2015,M10,109.8
WPUFD4,2015,M11,109.4
WPUFD4,2015,M12,109.1
WPUFD4,2016,M01,109.7
WPUFD4,2016,M02,109.6
WPUFD4,2016,M03,109.7
WPUFD4,2016,M04,110.0
WPUFD4,2016,M05,110.2
WPUFD4,2016,M06,110.8
WPUFD4,2016,M07,110.8
WPUFD4,2016,M08,110.5
WPUFD4,2016,M09,110.6
WPUFD4,2016,M10,111.0
WPUFD4,2016,M11,110.8
WPUFD4,2016,M12,111.0
WPUFD4,2017,M01,111.6
WPUFD4,2017,M02,111.8
WPUFD4,2017,M03,112.1
WPUFD4,2017,M04,112.7
WPUFD4,2017,M05,112.7
WPUFD4,2017,M06,112.9
WPUFD4,2017,M07,113.0
WPUFD4,2017,M08,113.2
WPUFD4,2017,M09,113.5
WPUFD4,2017,M10,114.1
WPUFD4,2017,M11,114.1
WPUFD4,2017,M12,113.8
WPUFD4,2018,M01,114.5
WPUFD4,2018,M02,114.9
WPUFD4,2018,M03,115.4
WPUFD4,2018,M04,115.7
WPUFD4,2018,M05,116.2
WPUFD4,2018,M06,116.6
WPUFD4,2018,M07,116.8
WPUFD4,2018,M08,116.6
WPUFD4,2018,M09,116.6
WPUFD4,2018,M10,117.6
WPUFD4,2018,M11,117.1
WPUFD4,2018,M12,116.8
WPUFD4,2019,M01,116.7
WPUFD4,2019,M02,117.1
WPUFD4,2019,M03,117.7
WPUFD4,2019,M04,118.5
WPUFD4,2019,M05,118.6
WPUFD4,2019,M06,118.5
WPUFD4,2019,M07,118.7
WPUFD4,2019,M08,118.8
WPUFD4,2019,M09,118.3
WPUFD4,2019,M10,118.8
WPUFD4,2019,M11,118.3
WPUFD4,2019,M12,118.4
WPUFD4,2020,M01,119.0
WPUFD4,2020,M02,118.4
WPUFD4,2020,M03,118.1
WPUFD4,2020,M04,116.7
WPUFD4,2020,M05,117.3
WPUFD4,2020,M06,117.7
WPUFD4,2020,M07,118.4
WPUFD4,2020,M08,118.5
WPUFD4,2020,M09,118.7
WPUFD4,2020,M10,119.5
WPUFD4,2020,M11,119.3
WPUFD4,2020,M12,119.4
WPUFD4,2021,M01,120.9
WPUFD4,2021,M02,121.9
WPUFD4,2021,M03,123.0
WPUFD4,2021,M04,124.3
WPUFD4,2021,M05,125.0
WPUFD4,2021,M06,126.3
WPUFD4,2021,M07,127.6
